CALL_APP_VIA_DJANGO,CALL_APP_DIRECTLY
2.0438722,2.087318
2.1013899,2.0875211
2.041934,2.066092
2.035172,2.0986149
2.1060391,2.2176298
2.044303,2.087101
2.0928521,2.079045
2.0716469,2.085247
2.05669,2.1101551
2.0526691,2.029331
2.084639,2.0521231
2.081724,2.101671
3.162703,2.0594981
2.053982,2.2434609
2.0443821,2.064108
2.1027009,2.056231
2.004888,2.0421009
2.083406,2.0583169
2.0493579,2.049925
2.276196,2.0908411
2.191262,2.1783471
2.067323,2.1543269
2.0599091,2.041076
2.129387,2.081744
2.069585,2.06074
2.0724261,2.141684
2.098197,2.0399971
2.1507171,2.1025059
2.119368,2.0931399
2.291623,2.1112709
2.07795,2.110225
2.0703869,3.189181
2.121875,1.9771859
2.0465069,2.457825
2.0664811,5.725438
2.1138811,1.993976
2.0587261,1.972371
2.123493,2.024152
2.1303749,2.0097649
2.0644021,2.0517509
2.024426,2.064468
3.166655,2.024869
2.051379,2.0982659
2.0604292,2.048266
2.1295421,2.019159
2.13484,2.0250002
2.106528,2.034621
2.085466,2.0364511
2.005521,2.033712
2.036721,2.116636
2.161334,2.1209371
2.061369,2.216881
2.0415708,2.202044
2.1189252,2.0601681
2.125061,2.04645
6.32817,2.080307
2.1202731,2.018259
2.127207,2.181342
2.1018071,2.089993
2.1187389,2.0441799
2.282273,2.012407
2.2167489,2.1176691
2.244775,2.0636909
2.1336278,2.0245281
2.129395,2.030411
2.013596,2.0688269
2.07739,2.014632
2.0919439,2.06268
3.065382,2.090184
2.066098,2.0491669
2.03175,2.0625639
2.09101,2.0492539
2.065372,2.013417
2.029719,2.039917
2.041817,2.036762
2.0451751,2.0034102
2.024564,2.030973
2.0758331,2.034359
2.2728291,2.0425141
2.170111,2.0338121
3.143649,2.0319271
2.047586,2.108279
