CALL_APP_IN_DOCKER_DIRECTLY
22.191817
22.34938
22.16581
22.214496
22.13684
22.063631
22.314794
22.264208
22.01215
22.621354
22.118418
22.258548
22.222109
22.239725
22.147337
22.155264
22.391352
22.221947
22.18675
22.016062
22.30662
22.035135
22.230516
22.16425
21.929143
22.186823
22.097054
22.142245
22.51489
22.257337
22.240576
22.989704
22.191799
22.33972
22.653696
22.300851
22.162688
22.176142
22.2705
22.330625
22.21771
22.116816
23.798957
22.283629
22.254254
22.061425
22.959696
22.797689
23.530082
22.303371
